date_key,channel_key,sessions,orders,revenue,spend
2024-05-01,ORGANIC,35448,926,62815.58,0.0
2024-05-01,PAID_SRC,34544,902,61212.34,59830.83
2024-05-01,SOCIAL,19905,520,35272.34,22397.57
2024-05-01,EMAIL,16553,432,29333.5,2324.69
2024-05-01,DIRECT,10118,264,17929.41,0.0
2024-05-01,REFERRAL,5144,134,9116.3,0.0
2024-06-01,ORGANIC,36729,1005,62839.92,0.0
2024-06-01,PAID_SRC,29936,819,51218.2,57992.37
2024-06-01,SOCIAL,22071,604,37762.5,28161.53
2024-06-01,EMAIL,19555,535,33457.7,2488.64
2024-06-01,DIRECT,11533,315,19732.87,0.0
2024-06-01,REFERRAL,5868,160,10040.88,0.0
2024-07-01,ORGANIC,34455,913,58557.15,0.0
2024-07-01,PAID_SRC,29256,775,49721.62,55670.81
2024-07-01,SOCIAL,22320,591,37934.0,28547.84
2024-07-01,EMAIL,21029,557,35739.09,3098.53
2024-07-01,DIRECT,9044,239,15371.55,0.0
2024-07-01,REFERRAL,4297,113,7304.16,0.0
2024-08-01,ORGANIC,34316,900,59408.9,0.0
2024-08-01,PAID_SRC,30292,794,52442.77,66096.94
2024-08-01,SOCIAL,20963,549,36291.42,25718.55
2024-08-01,EMAIL,18200,477,31507.82,3054.43
2024-08-01,DIRECT,11684,306,20227.79,0.0
2024-08-01,REFERRAL,4653,122,8055.84,0.0
2024-09-01,ORGANIC,33440,1021,69398.74,0.0
2024-09-01,PAID_SRC,31425,960,65216.75,62100.51
2024-09-01,SOCIAL,23967,732,49738.4,30439.8
2024-09-01,EMAIL,16901,516,35075.38,2684.89
2024-09-01,DIRECT,10104,308,20968.81,0.0
2024-09-01,REFERRAL,4945,151,10262.35,0.0
2024-10-01,ORGANIC,40193,1168,74283.27,0.0
2024-10-01,PAID_SRC,34935,1015,64564.96,72186.88
2024-10-01,SOCIAL,25738,748,47567.79,32889.18
2024-10-01,EMAIL,19054,553,35215.94,2900.03
2024-10-01,DIRECT,11294,328,20873.74,0.0
2024-10-01,REFERRAL,4813,139,8896.11,0.0
2024-11-01,ORGANIC,50638,1312,84591.46,0.0
2024-11-01,PAID_SRC,39699,1029,66318.68,73654.26
2024-11-01,SOCIAL,32530,843,54343.1,39781.97
2024-11-01,EMAIL,24685,639,41236.63,3199.23
2024-11-01,DIRECT,13899,360,23219.59,0.0
2024-11-01,REFERRAL,6896,178,11521.47,0.0
2024-12-01,ORGANIC,54348,1668,102912.54,0.0
2024-12-01,PAID_SRC,37658,1156,71308.21,71194.06
2024-12-01,SOCIAL,28353,870,53688.14,39390.66
2024-12-01,EMAIL,22988,705,43530.57,3544.41
2024-12-01,DIRECT,12955,397,24532.38,0.0
2024-12-01,REFERRAL,6269,192,11871.95,0.0
2025-01-01,ORGANIC,30016,868,53330.41,0.0
2025-01-01,PAID_SRC,26343,761,46803.64,53966.85
2025-01-01,SOCIAL,17143,495,30458.32,20845.14
2025-01-01,EMAIL,14692,424,26103.99,2467.16
2025-01-01,DIRECT,7289,210,12951.03,0.0
2025-01-01,REFERRAL,3964,114,7044.36,0.0
2025-02-01,ORGANIC,29637,902,60841.74,0.0
2025-02-01,PAID_SRC,26977,821,55380.2,49579.31
2025-02-01,SOCIAL,16494,502,33861.79,23516.14
2025-02-01,EMAIL,12718,387,26108.99,1488.23
2025-02-01,DIRECT,7941,241,16303.59,0.0
2025-02-01,REFERRAL,3681,112,7558.32,0.0
2025-03-01,ORGANIC,27632,825,57050.76,0.0
2025-03-01,PAID_SRC,26497,791,54705.84,50214.55
2025-03-01,SOCIAL,17239,515,35593.72,18038.26
2025-03-01,EMAIL,16095,481,33231.3,2571.22
2025-03-01,DIRECT,7960,237,16435.6,0.0
2025-03-01,REFERRAL,4604,137,9507.25,0.0
2025-04-01,ORGANIC,37535,957,62057.6,0.0
2025-04-01,PAID_SRC,30033,766,49654.03,51716.74
2025-04-01,SOCIAL,24539,626,40572.01,30163.36
2025-04-01,EMAIL,20128,513,33278.88,3125.49
2025-04-01,DIRECT,9850,251,16285.98,0.0
2025-04-01,REFERRAL,6105,155,10094.17,0.0
2025-05-01,ORGANIC,38873,1023,69603.58,0.0
2025-05-01,PAID_SRC,35523,934,63605.53,67969.86
2025-05-01,SOCIAL,24336,640,43574.52,30867.1
2025-05-01,EMAIL,20266,533,36286.76,3235.28
2025-05-01,DIRECT,11544,303,20670.43,0.0
2025-05-01,REFERRAL,5299,139,9488.74,0.0
2025-06-01,ORGANIC,38523,1165,76993.96,0.0
2025-06-01,PAID_SRC,30161,912,60281.82,63833.39
2025-06-01,SOCIAL,20689,625,41351.18,29297.96
2025-06-01,EMAIL,18169,549,36313.59,2335.41
2025-06-01,DIRECT,9821,297,19628.79,0.0
2025-06-01,REFERRAL,4595,138,9185.53,0.0
2025-07-01,ORGANIC,39733,1185,74750.94,0.0
2025-07-01,PAID_SRC,29404,877,55319.83,51970.28
2025-07-01,SOCIAL,18961,565,35671.82,21724.06
2025-07-01,EMAIL,15005,447,28229.5,1894.25
2025-07-01,DIRECT,10531,314,19813.71,0.0
2025-07-01,REFERRAL,5275,157,9925.82,0.0
2025-08-01,ORGANIC,43893,1226,81040.1,0.0
2025-08-01,PAID_SRC,32637,911,60258.18,60090.38
2025-08-01,SOCIAL,25461,711,47009.99,27014.03
2025-08-01,EMAIL,23776,664,43899.29,3879.3
2025-08-01,DIRECT,11119,310,20529.91,0.0
2025-08-01,REFERRAL,5671,158,10472.15,0.0
2025-09-01,ORGANIC,40136,1137,79226.67,0.0
2025-09-01,PAID_SRC,27525,780,54332.48,49662.59
2025-09-01,SOCIAL,22394,634,44205.56,24181.17
2025-09-01,EMAIL,19295,547,38087.57,3414.55
2025-09-01,DIRECT,11067,313,21846.06,0.0
2025-09-01,REFERRAL,5023,142,9915.56,0.0
2025-10-01,ORGANIC,39699,1263,82010.62,0.0
2025-10-01,PAID_SRC,35175,1119,72664.47,71090.69
2025-10-01,SOCIAL,22884,728,47275.58,25684.26
2025-10-01,EMAIL,20040,637,41399.41,3124.28
2025-10-01,DIRECT,10847,345,22409.2,0.0
2025-10-01,REFERRAL,5318,169,10987.1,0.0
2025-11-01,ORGANIC,56146,1472,102631.8,0.0
2025-11-01,PAID_SRC,41316,1083,75523.12,86504.05
2025-11-01,SOCIAL,31569,827,57707.18,45744.47
2025-11-01,EMAIL,24470,641,44730.81,4307.69
2025-11-01,DIRECT,14031,367,25648.27,0.0
2025-11-01,REFERRAL,6546,171,11966.36,0.0
2025-12-01,ORGANIC,56458,1673,95636.77,0.0
2025-12-01,PAID_SRC,47689,1413,80781.98,91966.84
2025-12-01,SOCIAL,36713,1088,62189.58,41528.13
2025-12-01,EMAIL,29308,868,49647.1,5337.98
2025-12-01,DIRECT,17826,528,30196.7,0.0
2025-12-01,REFERRAL,8104,240,13728.1,0.0
2026-01-01,ORGANIC,34591,947,63945.24,0.0
2026-01-01,PAID_SRC,29014,794,53636.32,56969.01
2026-01-01,SOCIAL,18998,520,35121.03,22210.84
2026-01-01,EMAIL,14941,409,27620.72,2330.62
2026-01-01,DIRECT,9672,264,17880.58,0.0
2026-01-01,REFERRAL,4420,121,8171.61,0.0
2026-02-01,ORGANIC,39376,1076,70290.58,0.0
2026-02-01,PAID_SRC,26286,718,46923.0,41507.98
2026-02-01,SOCIAL,21360,584,38130.31,28315.92
2026-02-01,EMAIL,19842,542,35419.83,2839.72
2026-02-01,DIRECT,10130,277,18084.49,0.0
2026-02-01,REFERRAL,4648,127,8298.29,0.0
2026-03-01,ORGANIC,34221,1071,68658.67,0.0
2026-03-01,PAID_SRC,30961,968,62118.15,61014.22
2026-03-01,SOCIAL,18194,569,36504.15,25056.5
2026-03-01,EMAIL,19265,602,38653.35,2708.98
2026-03-01,DIRECT,9546,298,19153.23,0.0
2026-03-01,REFERRAL,4809,150,9649.56,0.0
